@relation baseball

@attribute Salary numeric
@attribute Batting_average numeric
@attribute  On-base_percentage numeric
@attribute  Runs numeric
@attribute  Hits numeric
@attribute  Doubles numeric
@attribute  Triples numeric
@attribute  HomeRuns numeric
@attribute  Runs_batted_in numeric
@attribute  Walks numeric
@attribute  Strike-Outs numeric
@attribute  Stolen_bases numeric
@attribute  Errors numeric
@attribute  Free_agency_eligibility numeric
@attribute  Free_agent numeric
@attribute  Arbitration_eligibility numeric
@attribute  Arbitration numeric

@data
109.0,0.271,0.328,74.0,161.0,22.0,6.0,12.0,58.0,49.0,133.0,23.0,17.0,1.0,1.0,0.0,0.0
160.0,0.264,0.318,24.0,48.0,7.0,0.0,1.0,22.0,15.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0
2700.0,0.251,0.338,101.0,141.0,35.0,3.0,32.0,105.0,71.0,104.0,34.0,6.0,0.0,0.0,1.0,0.0
550.0,0.224,0.274,28.0,94.0,21.0,1.0,1.0,44.0,27.0,54.0,2.0,7.0,1.0,1.0,0.0,0.0
300.0,0.206,0.262,14.0,51.0,18.0,1.0,1.0,28.0,17.0,26.0,0.0,3.0,1.0,1.0,0.0,0.0
230.0,0.238,0.272,53.0,106.0,18.0,3.0,15.0,59.0,22.0,107.0,14.0,7.0,0.0,0.0,0.0,0.0
109.0,0.115,0.148,0.0,3.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
560.0,0.307,0.405,98.0,167.0,35.0,1.0,14.0,52.0,84.0,72.0,0.0,15.0,0.0,0.0,0.0,0.0
142.0,0.187,0.281,38.0,50.0,9.0,2.0,15.0,37.0,32.0,98.0,0.0,9.0,0.0,0.0,0.0,0.0
4300.0,0.266,0.359,115.0,152.0,32.0,1.0,44.0,122.0,78.0,152.0,26.0,9.0,1.0,0.0,0.0,0.0
3600.0,0.235,0.353,39.0,67.0,10.0,0.0,11.0,33.0,48.0,92.0,14.0,3.0,1.0,0.0,0.0,0.0
1650.0,0.262,0.312,45.0,116.0,25.0,3.0,4.0,41.0,26.0,55.0,11.0,5.0,0.0,0.0,1.0,0.0
183.0,0.213,0.312,36.0,57.0,8.0,3.0,2.0,26.0,39.0,32.0,8.0,15.0,0.0,0.0,0.0,0.0
2000.0,0.285,0.38,96.0,157.0,30.0,3.0,3.0,50.0,83.0,36.0,35.0,8.0,1.0,0.0,0.0,0.0
3563.0,0.312,0.357,67.0,155.0,30.0,3.0,4.0,43.0,34.0,74.0,17.0,6.0,1.0,0.0,0.0,0.0
109.0,0.225,0.333,71.0,8.0,16.0,4.0,0.0,3.0,14.0,12.0,25.0,0.0,0.0,0.0,1.0,0.0
155.0,0.283,0.327,15.0,39.0,7.0,1.0,7.0,26.0,9.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0
1050.0,0.247,0.306,65.0,114.0,14.0,9.0,6.0,52.0,36.0,60.0,15.0,3.0,1.0,1.0,0.0,0.0
687.0,0.233,0.326,45.0,74.0,16.0,0.0,23.0,61.0,41.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.231,0.291,45.0,107.0,23.0,2.0,5.0,48.0,37.0,53.0,8.0,5.0,1.0,0.0,0.0,0.0
2319.0,0.259,0.349,108.0,146.0,34.0,4.0,38.0,117.0,78.0,120.0,30.0,31.0,1.0,0.0,0.0,0.0
395.0,0.311,0.361,64.0,125.0,15.0,6.0,1.0,57.0,33.0,38.0,16.0,1.0,0.0,0.0,0.0,0.0
1025.0,0.26,0.313,82.0,158.0,27.0,10.0,19.0,59.0,47.0,115.0,16.0,3.0,1.0,0.0,0.0,0.0
135.0,0.211,0.274,5.0,12.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
