@relation californiaHousing

@attribute MedianHouseValue numeric
@attribute Longitude numeric
@attribute Latitude numeric
@attribute HousingMedianAge numeric
@attribute TotalRooms numeric
@attribute TotalBedrooms numeric
@attribute Population numeric
@attribute Households numeric
@attribute MedianIncome numeric

@data
171300.0,-117.03,32.78,17.0,5481.0,1618.0,2957.0,1537.0,2.5707
187500.0,-118.23,33.8,26.0,239.0,135.0,165.0,112.0,1.3333
232100.0,-122.46,37.71,39.0,2076.0,482.0,1738.0,445.0,3.1958
235700.0,-122.06,37.94,19.0,4005.0,972.0,1896.0,893.0,2.5268
228000.0,-122.87,38.68,32.0,4073.0,718.0,2053.0,629.0,3.7352
297900.0,-122.47,37.66,18.0,4172.0,806.0,3226.0,790.0,5.7535
336700.0,-122.5,37.77,52.0,2299.0,441.0,1252.0,415.0,5.0562
273100.0,-118.48,34.23,30.0,1762.0,263.0,761.0,292.0,6.5268
171300.0,-117.92,33.83,6.0,3136.0,990.0,1894.0,859.0,2.5564
285200.0,-118.0,33.91,19.0,5166.0,770.0,2374.0,753.0,5.979
342500.0,-119.77,34.43,22.0,2552.0,443.0,1066.0,424.0,5.1271
150800.0,-121.81,37.99,22.0,2331.0,359.0,1086.0,340.0,5.1435
86200.0,-120.87,37.6,32.0,4579.0,914.0,2742.0,856.0,2.6619
59800.0,-122.36,40.68,28.0,1745.0,379.0,1011.0,370.0,2.0391
139300.0,-116.98,33.83,15.0,2228.0,472.0,653.0,350.0,2.683
223500.0,-118.03,33.76,32.0,2980.0,494.0,1370.0,481.0,5.0866
81300.0,-121.01,37.64,33.0,693.0,207.0,598.0,192.0,1.0217
353500.0,-118.05,33.78,25.0,3112.0,435.0,1098.0,401.0,6.0
93800.0,-118.48,34.22,22.0,3430.0,1214.0,3618.0,1092.0,2.1974
244500.0,-118.23,34.13,37.0,1799.0,426.0,1088.0,417.0,2.975
145900.0,-121.38,38.47,4.0,14418.0,2282.0,6578.0,2140.0,4.5604
450800.0,-118.21,34.21,41.0,1676.0,263.0,757.0,255.0,4.7734
125900.0,-117.8,34.05,5.0,4536.0,1178.0,2485.0,909.0,4.1118
84400.0,-122.21,40.2,19.0,3404.0,731.0,1421.0,683.0,2.6149
156800.0,-118.04,34.05,32.0,1252.0,273.0,1337.0,263.0,2.6579
184300.0,-121.06,38.88,17.0,7635.0,1284.0,3096.0,1227.0,4.2917
167000.0,-118.0,34.13,24.0,2584.0,520.0,1869.0,503.0,3.2841
228100.0,-118.18,34.63,19.0,3562.0,606.0,1677.0,578.0,4.1573
133400.0,-121.85,38.0,26.0,3364.0,570.0,1806.0,566.0,4.2647
163200.0,-117.13,34.06,4.0,3078.0,510.0,1341.0,486.0,4.9688
342200.0,-117.24,32.78,44.0,2172.0,431.0,892.0,420.0,4.1742
134200.0,-117.72,34.07,33.0,4100.0,740.0,2580.0,730.0,3.7321
500001.0,-118.55,33.99,39.0,2603.0,456.0,928.0,410.0,7.9096
500001.0,-117.82,33.64,18.0,1974.0,260.0,808.0,278.0,9.8589
136500.0,-118.26,33.88,36.0,1212.0,222.0,775.0,224.0,5.5591
102100.0,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464
70100.0,-119.77,36.74,51.0,1454.0,235.0,729.0,252.0,3.3125
372800.0,-118.4,34.03,43.0,1006.0,201.0,520.0,199.0,6.5669
59000.0,-119.34,35.6,33.0,2143.0,488.0,1732.0,509.0,1.9362
235500.0,-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411
100300.0,-122.91,39.06,21.0,1236.0,238.0,601.0,261.0,1.939
131000.0,-117.96,34.09,6.0,1954.0,534.0,1584.0,496.0,3.1621
392900.0,-118.86,34.19,27.0,1931.0,261.0,736.0,244.0,6.7805
132700.0,-121.06,39.23,10.0,2229.0,537.0,982.0,512.0,2.186
111900.0,-117.42,34.11,25.0,4261.0,893.0,2319.0,702.0,3.3958
271500.0,-118.6,34.26,18.0,6154.0,1070.0,3010.0,1034.0,5.6392
202000.0,-118.49,34.19,23.0,2087.0,571.0,1809.0,553.0,3.1667
310000.0,-118.48,34.03,19.0,902.0,284.0,414.0,272.0,1.3333
102700.0,-119.4,37.09,22.0,2211.0,477.0,773.0,288.0,3.3269
152400.0,-118.17,34.03,43.0,1636.0,506.0,1855.0,502.0,2.2902
209100.0,-118.68,34.27,26.0,1561.0,212.0,817.0,242.0,5.477
227700.0,-121.75,38.55,26.0,4802.0,950.0,2199.0,939.0,3.7452
72200.0,-124.18,40.78,33.0,1076.0,222.0,656.0,236.0,2.5096
177600.0,-118.14,33.91,37.0,932.0,171.0,578.0,175.0,4.375
198700.0,-122.03,37.62,35.0,2072.0,352.0,1001.0,350.0,4.7109
141700.0,-118.13,34.15,24.0,1125.0,341.0,579.0,321.0,2.8125
462200.0,-118.27,34.22,34.0,8206.0,1186.0,3141.0,1150.0,7.2812
350900.0,-118.44,34.03,41.0,1164.0,265.0,561.0,251.0,4.2411
162300.0,-118.17,33.86,44.0,1701.0,396.0,1091.0,384.0,3.025
237200.0,-117.15,34.03,32.0,2832.0,393.0,1033.0,385.0,6.5648
412500.0,-118.31,34.06,30.0,3110.0,1269.0,2535.0,1218.0,1.6987
156900.0,-120.86,37.53,18.0,2829.0,732.0,1751.0,712.0,1.6445
56700.0,-116.89,33.79,12.0,701.0,130.0,434.0,110.0,2.0577
73200.0,-117.24,34.11,23.0,1920.0,454.0,1161.0,358.0,2.2109
128300.0,-118.93,34.82,8.0,508.0,111.0,229.0,84.0,4.0332
129200.0,-121.34,38.0,32.0,3877.0,687.0,1642.0,647.0,4.0444
215700.0,-117.97,33.94,35.0,1928.0,360.0,1056.0,366.0,4.0893
275000.0,-122.43,37.77,52.0,2714.0,779.0,1438.0,733.0,3.6031
103700.0,-122.26,38.12,28.0,3102.0,734.0,1623.0,639.0,3.1025
152300.0,-122.72,38.42,30.0,2099.0,406.0,1156.0,401.0,2.8036
