@relation concrete

@attribute ConcreteCompressiveStrength numeric
@attribute Cement numeric
@attribute  BlastFurnaceSlag numeric
@attribute  FlyAsh numeric
@attribute  Water numeric
@attribute  Superplasticizer numeric
@attribute  CoarseAggregate numeric
@attribute  FineAggregate numeric
@attribute  Age numeric

@data
13.71,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0
14.84,295.799988,0.0,0.0,185.699997,0.0,1091.400024,769.299988,7.0
21.780001,252.300003,0.0,98.800003,146.300003,14.2,987.799988,889.0,3.0
33.689999,172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,28.0
30.65,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0
55.25,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0
59.759998,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0
12.46,154.800003,0.0,142.800003,193.300003,9.1,1047.400024,696.700012,28.0
51.720001,167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,56.0
21.26,277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0
40.150002,251.399994,0.0,118.300003,192.899994,5.8,1043.599976,754.299988,100.0
24.0,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0
17.959999,153.0,102.0,0.0,192.0,0.0,888.0,943.099976,28.0
30.139999,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0
36.939999,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0
56.849998,275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,56.0
16.5,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0
31.02,116.0,173.0,0.0,192.0,0.0,909.799988,891.900024,90.0
47.970001,387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0
36.84,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0
42.130001,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0
20.280001,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0
21.07,158.800003,238.199997,0.0,185.699997,0.0,1040.599976,734.299988,28.0
39.299999,439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,3.0
50.73,192.0,288.0,0.0,192.0,0.0,929.799988,716.099976,90.0
23.52,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0
23.08,173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,3.0
41.049999,313.299988,145.0,0.0,178.5,8.0,1001.900024,688.700012,28.0
37.810001,173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,28.0
33.09,165.0,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,14.0
26.26,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0
55.549999,491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0
56.810001,167.0,75.400002,167.0,164.0,7.9,1007.299988,770.099976,100.0
44.279999,276.399994,116.0,90.300003,179.600006,8.9,870.099976,768.299988,28.0
56.619999,330.5,169.600006,0.0,194.899994,8.1,811.0,802.299988,28.0
50.529999,288.0,192.0,0.0,192.0,0.0,932.0,717.799988,90.0
24.540001,229.699997,0.0,118.199997,195.199997,6.1,1028.099976,757.599976,28.0
32.720001,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0
31.969999,333.0,0.0,0.0,192.0,0.0,931.200012,842.599976,28.0
45.299999,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0
13.29,135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0
8.2,255.0,0.0,0.0,192.0,0.0,889.799988,945.0,3.0
41.84,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0
16.280001,376.0,0.0,0.0,214.600006,0.0,1003.5,762.400024,3.0
7.75,168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,3.0
17.280001,102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0
49.200001,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,7.0
