@relation ele-1

@attribute Length numeric
@attribute Inhabitants numeric
@attribute  Distance numeric

@data
2146.0,15.0,605.0
2148.0,13.0,696.669983
2178.0,25.0,443.329987
1322.0,22.0,373.329987
1075.0,19.0,340.0
1697.0,21.0,523.330017
773.0,34.0,240.0
358.0,8.0,290.0
1614.0,23.0,395.0
1092.0,9.0,486.670013
2891.0,41.0,500.0
1330.0,17.0,533.330017
1660.0,39.0,380.0
356.0,12.0,165.0
1058.0,40.0,290.0
365.0,25.0,158.330002
1284.0,52.0,398.329987
642.0,11.0,316.670013
621.0,29.0,180.0
389.0,5.0,186.669998
1146.0,56.0,320.0
1011.0,19.0,443.329987
1032.0,46.0,323.329987
668.0,6.0,300.0
3357.0,57.0,580.0
4765.0,78.0,813.330017
2389.0,26.0,590.0
1617.0,15.0,553.330017
909.0,32.0,270.0
1671.0,43.0,400.0
1720.0,39.0,396.670013
739.0,11.0,293.329987
1087.0,25.0,360.0
1723.0,28.0,673.330017
2553.0,57.0,666.669983
2628.0,20.0,900.0
1588.0,21.0,963.330017
764.0,24.0,230.0
2082.0,24.0,420.0
1623.0,90.0,341.670013
1113.0,9.0,366.670013
1161.0,39.0,326.670013
1562.0,69.0,443.329987
1663.0,19.0,623.330017
1500.0,25.0,433.329987
1682.0,29.0,373.329987
1441.0,26.0,365.0
2557.0,79.0,416.670013
1948.0,31.0,718.330017
2312.0,29.0,541.669983
1599.0,28.0,448.329987
212.0,1.0,120.0
80.0,2.0,105.0
80.0,1.0,80.0
150.0,1.0,150.0
1349.0,28.0,456.670013
466.0,19.0,138.330002
817.0,57.0,211.669998
666.0,24.0,280.0
1030.0,40.0,361.670013
1971.0,142.0,281.670013
1453.0,7.0,1000.0
1873.0,23.0,683.330017
1284.0,7.0,340.0
737.0,2.0,380.0
811.0,41.0,135.0
231.0,26.0,86.669998
357.0,12.0,176.669998
2253.0,18.0,713.330017
987.0,8.0,526.669983
1531.0,75.0,346.670013
3221.0,70.0,591.669983
1370.0,31.0,476.670013
1003.0,23.0,303.329987
921.0,20.0,370.0
96.0,3.0,60.0
456.0,4.0,210.0
883.0,39.0,335.0
574.0,10.0,201.669998
1409.0,47.0,636.669983
475.0,8.0,291.670013
621.0,10.0,405.0
1168.0,35.0,396.670013
592.0,24.0,223.330002
1895.0,19.0,510.0
1676.0,26.0,393.329987
905.0,16.0,266.670013
657.0,11.0,213.330002
392.0,4.0,126.669998
2470.0,34.0,518.330017
1799.0,27.0,763.330017
1192.0,27.0,533.330017
1730.0,21.0,506.670013
734.0,38.0,258.329987
2071.0,35.0,671.669983
599.0,20.0,358.329987
1404.0,23.0,493.329987
1805.0,16.0,738.330017
2274.0,18.0,716.669983
516.0,18.0,128.330002
638.0,16.0,280.0
657.0,19.0,323.329987
2225.0,45.0,603.330017
1141.0,11.0,313.329987
1108.0,16.0,596.669983
744.0,10.0,458.329987
2199.0,39.0,520.0
1036.0,32.0,316.670013
1391.0,33.0,710.0
913.0,11.0,258.329987
1855.0,92.0,793.330017
2145.0,40.0,673.330017
1834.0,44.0,456.670013
1736.0,15.0,610.0
432.0,10.0,258.329987
733.0,34.0,280.0
123.0,3.0,95.0
386.0,18.0,226.669998
1764.0,31.0,546.669983
1083.0,30.0,386.670013
2082.0,28.0,513.330017
643.0,68.0,240.0
1953.0,67.0,501.670013
1229.0,27.0,288.329987
903.0,8.0,456.670013
864.0,13.0,733.330017
1635.0,44.0,366.670013
1325.0,15.0,486.670013
1000.0,16.0,373.329987
1176.0,8.0,500.0
915.0,24.0,350.0
2737.0,19.0,775.0
1898.0,12.0,600.0
910.0,15.0,263.329987
755.0,29.0,340.0
1491.0,27.0,480.0
1706.0,22.0,433.329987
1789.0,25.0,520.0
897.0,11.0,453.329987
656.0,5.0,368.329987
2097.0,45.0,563.330017
2629.0,35.0,586.669983
5932.0,77.0,1006.669983
2797.0,14.0,566.669983
1336.0,15.0,476.670013
1803.0,26.0,376.670013
2010.0,15.0,563.330017
3235.0,42.0,680.0
991.0,17.0,360.0
1264.0,14.0,298.329987
1979.0,45.0,490.0
623.0,15.0,278.329987
5589.0,130.0,668.330017
6539.0,185.0,943.330017
3085.0,41.0,733.330017
1354.0,31.0,415.0
2239.0,24.0,783.330017
2976.0,150.0,573.330017
176.0,9.0,116.669998
1607.0,45.0,350.0
1290.0,6.0,480.0
723.0,37.0,188.330002
1601.0,65.0,336.670013
1818.0,15.0,501.670013
1698.0,47.0,480.0
2809.0,23.0,966.669983
