@relation ele-2

@attribute Y numeric
@attribute X1 numeric
@attribute  X2 numeric
@attribute  X3 numeric
@attribute  X4 numeric

@data
4329.330078,11.0,3.3,54.959999,55.0
2016.439941,4.0,1.2,19.98,40.0
249.419998,0.9,0.27,4.5,1.8
1044.219971,2.0,1.2,19.98,10.0
1761.920044,2.0,1.8,19.98,30.0
2028.640015,2.5,1.5,24.959999,25.0
3093.179932,9.5,2.85,47.459999,19.0
964.52002,5.0,1.5,16.65,10.0
5782.939941,6.5,5.85,97.5,65.0
2101.409912,5.0,1.5,24.959999,25.0
1445.0,2.5,0.75,12.48,25.0
6857.439941,9.5,5.7,94.980003,95.0
3730.27002,6.5,5.85,64.980003,32.5
3123.949951,5.0,3.0,33.299999,75.0
4482.029785,8.0,7.2,79.919998,40.0
234.100006,0.9,0.27,2.97,4.5
127.110001,0.5,0.45,4.95,1.0
3695.23999,6.5,1.95,32.459999,97.5
1709.420044,2.5,1.5,16.65,37.5
1237.199951,2.5,1.5,16.65,12.5
487.100006,0.7,0.42,6.96,7.0
4150.72998,5.0,4.5,75.0,25.0
4211.589844,11.0,3.3,36.630001,110.0
323.230011,0.6,0.18,6.0,3.0
5265.720215,6.5,5.85,97.5,32.5
462.869995,0.9,0.54,5.94,9.0
1227.119995,1.5,1.35,14.94,15.0
2246.669922,4.0,2.4,26.639999,40.0
1572.180054,2.0,1.2,19.98,20.0
1099.319946,2.0,0.6,9.96,20.0
376.140015,0.5,0.3,4.98,7.5
2482.919922,2.5,2.25,37.5,25.0
1190.920044,2.5,0.75,12.48,12.5
565.47998,0.8,0.48,7.98,8.0
3092.830078,5.0,3.0,49.98,25.0
3140.310059,8.0,2.4,39.959999,40.0
437.399994,0.8,0.24,7.98,4.0
5330.52002,9.5,2.85,31.59,142.5
2559.149902,3.0,2.7,45.0,15.0
395.329987,1.5,0.9,9.99,3.0
1520.380005,1.5,1.35,22.5,15.0
3261.97998,3.0,2.7,45.0,45.0
227.410004,0.5,0.15,2.46,7.5
2594.909912,6.5,1.95,21.6,65.0
484.299988,0.7,0.63,10.5,3.5
4103.22998,6.5,3.9,43.290001,97.5
109.989998,0.6,0.18,3.0,1.2
4243.049805,9.5,5.7,63.27,47.5
319.660004,0.7,0.21,3.48,7.0
5225.950195,9.5,8.55,94.949997,47.5
579.799988,3.0,0.9,9.99,6.0
1148.380005,0.8,0.72,12.0,12.0
1816.790039,3.0,1.8,19.98,30.0
379.570007,0.9,0.27,4.5,9.0
