@relation sulfer_2

@attribute y2 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric

@data
0.191476,0.663113,0.774276,0.47097,0.096044,0.019865
0.174192,0.65996,0.766021,0.473398,0.111023,0.027957
0.165544,0.65467,0.767519,0.474198,0.10541,0.028907
0.16819,0.653325,0.769922,0.475963,0.066221,0.029411
0.170836,0.654726,0.760449,0.478833,0.033746,0.031592
0.173482,0.656049,0.770984,0.480173,0.07637,0.029059
0.176128,0.659265,0.767728,0.473564,0.072832,0.030466
0.178774,0.664925,0.771507,0.468518,0.037896,0.028344
0.181421,0.659041,0.768564,0.468305,0.210117,0.17725
0.184067,0.650972,0.75303,0.465209,0.402624,0.385987
0.186713,0.649627,0.754249,0.46792,0.396773,0.444726
0.189359,0.644673,0.76522,0.467871,0.377757,0.47477
0.202504,0.641113,0.771071,0.46455,0.408316,0.490413
0.229378,0.643859,0.775825,0.449397,0.428523,0.496781
0.256252,0.646604,0.784184,0.430624,0.408951,0.49555
0.263734,0.653247,0.782896,0.427877,0.397725,0.4983
0.245859,0.664342,0.765534,0.427541,0.399755,0.5056
0.227984,0.673319,0.752229,0.424622,0.416934,0.508549
0.210108,0.676738,0.762782,0.419276,0.40911,0.506526
0.171483,0.674177,0.764454,0.418128,0.391086,0.508895
0.140356,0.668881,0.763061,0.42953,0.394063,0.508649
0.154515,0.665691,0.767501,0.441444,0.42994,0.507147
0.168675,0.664906,0.772151,0.442945,0.436982,0.507042
0.182835,0.664122,0.77391,0.442748,0.392702,0.50526
0.19071,0.665979,0.771542,0.43917,0.376544,0.505389
0.190367,0.666539,0.778333,0.430807,0.415868,0.504568
0.190025,0.662168,0.75923,0.424384,0.436131,0.512143
0.189682,0.659052,0.751724,0.432138,0.436438,0.515122
0.18934,0.659607,0.750714,0.432567,0.450612,0.514688
0.188997,0.662717,0.757314,0.42718,0.389867,0.514946
0.188655,0.667749,0.766805,0.418122,0.384311,0.513445
0.188312,0.671095,0.770183,0.412268,0.401807,0.509774
0.18797,0.670002,0.78159,0.414512,0.375704,0.504931
0.187627,0.671381,0.766683,0.4167,0.375001,0.507218
0.187285,0.672315,0.764402,0.417499,0.370693,0.507083
0.186942,0.669513,0.783174,0.411746,0.375773,0.504181
0.1866,0.666711,0.784167,0.400838,0.397,0.505342
0.186257,0.666315,0.782338,0.396347,0.382576,0.507042
0.185915,0.66657,0.787197,0.394535,0.423613,0.504052
0.185572,0.664426,0.769034,0.398233,0.436846,0.508039
0.18523,0.662283,0.768895,0.400742,0.423341,0.509
0.184888,0.660139,0.78314,0.390288,0.433024,0.507077
0.184545,0.661526,0.777845,0.383718,0.408872,0.510724
0.184203,0.666948,0.770357,0.38972,0.399324,0.511123
0.18386,0.67237,0.754754,0.387306,0.395038,0.517373
0.183518,0.677791,0.767641,0.380189,0.425076,0.516083
0.183175,0.678407,0.78199,0.382598,0.44069,0.509059
0.182833,0.673532,0.768895,0.380077,0.42833,0.512905
0.16234,0.663793,0.755677,0.385161,0.404914,0.519214
0.136968,0.652418,0.758307,0.393837,0.366531,0.51939
0.13967,0.645525,0.751341,0.396686,0.43485,0.52577
0.142372,0.641221,0.756112,0.400655,0.45542,0.52034
0.170252,0.645054,0.767885,0.396853,0.430178,0.504955
0.205443,0.648372,0.752647,0.384048,0.42613,0.512131
0.207138,0.644337,0.750679,0.376199,0.418306,0.516693
0.208833,0.642538,0.753657,0.372263,0.420086,0.511205
0.210528,0.643295,0.767519,0.369915,0.390003,0.507312
0.212222,0.640834,0.780736,0.370262,0.373164,0.507535
0.213917,0.634698,0.780231,0.363676,0.382599,0.499689
0.215612,0.633466,0.768755,0.352396,0.396898,0.500604
0.217307,0.637837,0.770636,0.350332,0.38244,0.503899
0.219002,0.645032,0.790628,0.354801,0.38227,0.497573
0.220697,0.648472,0.790819,0.353451,0.382315,0.500299
0.222392,0.646208,0.777967,0.339356,0.381964,0.506268
0.224087,0.646545,0.771193,0.332556,0.402204,0.509129
0.225782,0.646881,0.779935,0.336399,0.406094,0.504204
0.227477,0.64302,0.778385,0.331704,0.396495,0.506831
0.229172,0.634362,0.765081,0.321851,0.392838,0.515298
0.230867,0.629117,0.765673,0.319973,0.409382,0.512612
0.232562,0.632714,0.78179,0.318747,0.410278,0.506409
0.234257,0.641961,0.783488,0.30942,0.393734,0.506585
0.235952,0.644068,0.780127,0.304934,0.407851,0.506761
0.23135,0.638016,0.772447,0.305979,0.38752,0.506937
0.218513,0.638397,0.775216,0.309445,0.385762,0.511381
0.205677,0.64613,0.780823,0.312979,0.390933,0.507652
0.19284,0.649784,0.781381,0.31343,0.384697,0.496722
0.180004,0.648775,0.763496,0.312465,0.401354,0.501261
0.167167,0.649963,0.748677,0.310705,0.377632,0.507734
0.154331,0.653662,0.765446,0.310975,0.3854,0.503137
0.141494,0.65736,0.770897,0.316797,0.397861,0.498581
0.138216,0.653762,0.782286,0.320727,0.372722,0.500076
0.147437,0.645082,0.776609,0.319609,0.373516,0.508426
0.156657,0.640123,0.753622,0.32422,0.394562,0.512296
0.165878,0.63332,0.766474,0.326964,0.397801,0.507921
0.175099,0.627836,0.776365,0.328558,0.414073,0.50635
0.18432,0.626266,0.779517,0.328959,0.430345,0.505048
0.19354,0.624698,0.774032,0.324401,0.429525,0.506796
0.202761,0.620487,0.758777,0.313717,0.409171,0.510595
0.211982,0.620868,0.768285,0.300721,0.388816,0.511616
0.215356,0.623592,0.783488,0.293669,0.392487,0.508725
0.211085,0.619053,0.780423,0.291166,0.448378,0.511979
0.206813,0.616396,0.77196,0.290977,0.439783,0.512729
0.202542,0.618971,0.778176,0.287829,0.400311,0.508731
0.198271,0.625065,0.777828,0.29274,0.426028,0.50635
0.193999,0.63116,0.766666,0.298482,0.405447,0.508285
0.189728,0.637254,0.765185,0.299562,0.384096,0.508825
0.185457,0.639916,0.764889,0.295992,0.383075,0.505184
0.181185,0.638655,0.777967,0.29743,0.409121,0.498587
0.176914,0.635655,0.778237,0.304971,0.421266,0.498599
0.172643,0.630668,0.768964,0.309191,0.38735,0.506162
0.168371,0.62568,0.763165,0.312659,0.41334,0.508103
0.1641,0.622,0.77438,0.311282,0.40953,0.503618
0.159829,0.616834,0.779474,0.303399,0.364172,0.505822
0.155557,0.617517,0.760536,0.297113,0.388586,0.513539
0.153895,0.62376,0.761406,0.292338,0.391024,0.513316
0.155643,0.624264,0.758585,0.287479,0.391273,0.511651
0.157392,0.624769,0.770653,0.290525,0.418499,0.507969
0.159141,0.625783,0.773666,0.295834,0.429407,0.506901
0.160889,0.62738,0.749147,0.301621,0.442561,0.510806
0.162638,0.625172,0.76165,0.307955,0.417524,0.510959
0.164387,0.618616,0.774972,0.30678,0.380603,0.505541
0.166135,0.614295,0.786892,0.303547,0.4224,0.498962
0.167884,0.61253,0.780493,0.303427,0.442039,0.502439
0.169632,0.613236,0.777445,0.300294,0.408702,0.501648
0.171381,0.610804,0.772012,0.297364,0.420835,0.504345
0.17313,0.607912,0.765812,0.293035,0.393779,0.508402
0.174878,0.609851,0.773196,0.291573,0.402068,0.504861
0.176627,0.609011,0.776244,0.285492,0.421753,0.505506
0.178376,0.613819,0.756304,0.279296,0.383653,0.511234
0.180124,0.62061,0.758376,0.281715,0.398338,0.510443
0.181873,0.622292,0.767623,0.285109,0.419054,0.511909
0.182194,0.620207,0.770653,0.284874,0.388835,0.507664
0.180648,0.616917,0.781834,0.286372,0.396081,0.501495
0.179102,0.61717,0.780562,0.284319,0.38972,0.50166
0.177555,0.617422,0.788399,0.278047,0.397612,0.502234
0.176009,0.617674,0.784141,0.284336,0.417081,0.504925
0.174463,0.617926,0.778002,0.284702,0.404642,0.506069
0.172917,0.618178,0.770096,0.283445,0.424656,0.506145
0.171371,0.616587,0.768215,0.280993,0.445566,0.505002
0.169825,0.616576,0.757244,0.276172,0.451757,0.508496
0.168279,0.620779,0.74293,0.277817,0.417717,0.514254
0.166733,0.624981,0.756356,0.271014,0.386329,0.513586
0.165187,0.627097,0.769844,0.276472,0.370001,0.511756
0.163641,0.626828,0.77337,0.287167,0.384787,0.509751
0.162094,0.626559,0.761232,0.281307,0.387906,0.511873
0.160548,0.62629,0.763862,0.27727,0.391024,0.511662
0.159002,0.626021,0.788225,0.278826,0.409552,0.503372
0.157456,0.624858,0.7861,0.281518,0.384164,0.499678
0.15591,0.627851,0.767989,0.282461,0.405538,0.507394
0.154364,0.633465,0.749861,0.291707,0.42435,0.517807
0.152818,0.639394,0.748572,0.297777,0.392543,0.512953
0.151272,0.644121,0.755015,0.296117,0.383914,0.509986
0.149726,0.642146,0.7566,0.302164,0.393915,0.508385
