class,DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name
3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2
5.45,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80
1.791,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp
1.557,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes
3.114,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree
1.868,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5
1.09,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART
0.0,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5
67.655,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade
1.324,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle
5.683,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2
24.057,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default
0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92
0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Discrim
0.467,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,ITrule
1.635,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART
3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN
67.655,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen
5.138,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ
0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LogDisc
3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,NewId
5.917,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,QuaDisc
1.09,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,RBF
2.102,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Smart
9.035,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Ac2
9.939,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Alloc80
2.711,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BackProp
20.781,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Bayes
7.228,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BayesTree
1.807,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,C4_5
885.438,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,CART
2.711,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cal5
885.438,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cascade
24.395,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Castle
10.842,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cn2
27.105,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Default
